Stock Price,Analytic,BT,MC,FD
,"Strike Price: 50, Interest Rate: 0.1, Volatility: 0.4, Period: 0.4167",,,
79,31.2008703497945,31.19341519738534,31.11820047685176,31.06203237269746
80,32.18239081183235,32.164286832123864,32.41591272242874,32.02241206829334
81,33.1659951028084,33.135158466862386,33.27353969593807,32.98146879273466
82,34.15145665074644,34.11551686703853,34.31255251120865,33.940525517175985
83,35.1385720946388,35.11065639164057,35.15191846846798,34.89642769528751
84,36.12715914466833,36.1057959162426,36.125750881899826,35.85232987339903
85,37.117054599506325,37.10093544084464,37.3330396988238,36.803252320936046
86,38.10811251630808,38.096074965446675,38.19595598417533,37.754174768473064
87,39.10020252762857,39.09121449004872,39.2715583202086,38.69825811191012
88,40.09320829847039,40.086354014650745,40.31131848617833,39.64234145534717
89,41.08702611598986,41.08149353925278,41.08634035117408,40.57765830169393
90,42.08156360396867,42.07663306385482,42.08570587159062,41.512975148040695
